TransactionAmount,TransactionDate,Location,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionType,CustomerOccupation,Channel,Cluster
14.09,2023-04-11 16:29:14,San Diego,70.0,81.0,1.0,5112.21,2024-11-04 08:08:08,Debit,Engineer,Branch,2
376.24,2023-06-27 16:44:19,Houston,68.0,141.0,1.0,13758.91,2024-11-04 08:09:35,Debit,Engineer,Branch,2
126.29,2023-07-10 18:16:08,Mesa,19.0,56.0,1.0,1122.35,2024-11-04 08:07:04,Debit,Student,Online,1
184.5,2023-05-05 16:32:11,Raleigh,26.0,25.000000000000004,1.0,8569.06,2024-11-04 08:09:06,Debit,Student,Online,1
13.45,2023-10-16 17:51:24,Atlanta,26.0,198.0,1.0,7429.4,2024-11-04 08:06:39,Debit,Student,Online,1
92.15,2023-04-03 17:15:01,Oklahoma City,18.0,172.0,1.0,781.68,2024-11-04 08:06:36,Debit,Student,Branch,1
7.08,2023-02-15 16:36:48,Seattle,37.0,139.0,1.0,13316.71,2024-11-04 08:10:09,Debit,Engineer,Branch,2
171.42,2023-05-08 17:47:59,Indianapolis,67.0,291.0,1.0,2796.24,2024-11-04 08:10:55,Debit,Retired,Branch,3
106.23,2023-03-21 16:59:46,Detroit,51.0,86.0,1.0,9095.14,2024-11-04 08:11:14,Debit,Engineer,Branch,0
815.96,2023-03-31 16:06:57,Nashville,55.0,120.0,1.0,1021.8800000000001,2024-11-04 08:06:32,Debit,Engineer,Branch,2
17.78,2023-03-14 16:46:10,Albuquerque,52.0,59.00000000000001,1.0,7599.5199999999995,2024-11-04 08:06:45,Debit,Engineer,Online,2
190.02,2023-02-06 17:30:00,Memphis,21.0,173.0,1.0,1528.81,2024-11-04 08:07:12,Debit,Student,Online,1
494.52,2023-06-07 17:21:28,Mesa,24.0,111.0,1.0,1620.02,2024-11-04 08:08:38,Debit,Student,Branch,1
781.76,2023-11-20 16:39:15,Memphis,26.0,123.0,1.0,189.69,2024-11-04 08:07:06,Debit,Student,Branch,1
166.99,2023-02-13 16:53:57,Louisville,18.0,134.0,1.0,299.93,2024-11-04 08:10:09,Debit,Student,Online,1
